,start_port,end_port,start_region,end_region,start_loc_lat,start_loc_lon,end_loc_lat,end_loc_lon,start_time,end_time,route,route_name,ME_CO2,AE_CO2,ae_consumption,me_consumption,draft,sog,stw,power,rpm,rudder_angle,trim,wind_direction,wind_speed,GPS_distance,sog_distance,IMO_ME_consump,IMO_pilot_consump,IMO_aux_consump,IMO_boiler_consump,IMO_ME_CO2,IMO_pilot_CO2,IMO_aux_CO2,IMO_boiler_CO2,IMO_CO2_consump,desmo_CO2
0,Malaysia: Kuantan,Australia: Portland,South East Asia,nan,3.97,103.43,-38.32,141.71,2018-12-17 19:15:00,2018-12-30 22:35:00,Malaysia: Kuantan->Australia: Portland,,683353070.9009063,98487969.95637801,2.333472545103727,16.651121587592737,5.908171526518547,12.75248901325524,12.529163938031903,3.779062099005722,88.2224312549254,0.1880291678436014,2.300129815484353,196.50879043600563,10.067985664284729,4030.565732069981,4032.407355351921,235807306.21432456,0.0,16348800.0,163200.0,734303951.5514067,0.0,52414252.79999999,508204.8,787226409.1514068,919972184.3609164
1,Australia: Portland,Australia: Portland,nan,nan,-38.32,141.71,-38.35,141.62,2019-01-08 04:05:00,2019-01-08 05:35:00,Australia: Portland->Australia: Portland,port_activity,641384.7052738636,707659.2114494318,2.6487556261363636,2.4716173613636365,6.61511145965909,3.6534006799702547,3.3572012785089003,0.25183625,12.4565415,5.157765045494318,1.3862196693181819,242.52272727272725,7.469757394139091,5.1562850382280505,7.3068013599405095,62832.04455488081,0.0,181350.0,85000.0,195658.98674389886,0.0,581408.1,264690.0,1041757.0867438988,686713.0739242511
2,Australia: Portland,Australia: Portland,nan,nan,-38.35,141.62,-38.32,141.68,2019-01-11 01:20:00,2019-01-11 02:00:00,Australia: Portland->Australia: Portland,port_activity,532051.77567,655775.522959375,2.45455591875,2.05029586,6.049840128125,3.2499925106221,2.7851941150629003,0.29622646449375,13.823652155625,2.5883714099999997,1.6869874187500002,37.375,4.4489637757019995,3.439864271957921,6.4999850212442,81539.32762614707,0.0,161850.0,85000.0,253913.46622782198,0.0,518891.1,264690.0,1037494.566227822,751634.4933194875
3,Australia: Portland,Australia: Portland,nan,nan,-38.32,141.68,-38.35,141.62,2019-01-13 19:00:00,2019-01-13 19:50:00,Australia: Portland->Australia: Portland,port_activity,262149.70613863633,330539.06268409087,2.4744034636363637,2.0204216272727273,6.041622950000001,3.7454458996993454,3.6276118352712583,0.2595488245454545,13.146085272727275,10.050311843363637,1.7006496999999998,82.0909090909091,2.9599381994894545,3.2785179282534975,3.7454458996993454,23701.312454431725,0.0,132600.0,40800.0,73805.88698310038,0.0,425115.6,127051.2,625972.6869831004,314291.1292752478
4,Australia: Portland,Australia: Townsville,nan,nan,-38.35,141.62,-19.25,146.84,2019-01-15 00:05:00,2019-01-21 09:10:00,Australia: Portland->Australia: Townsville,,334738883.54957885,46801100.313673615,2.2750087245671,16.752440184649746,7.869132245169224,11.585520289008008,12.601874206412516,3.732789916633215,87.00521307755216,0.21398959359735586,1.1447303685163321,124.86107831562379,14.47048407867385,1781.0660085713844,1784.1701245072331,113430747.36088762,0.0,11245650.0,1757800.0,353223347.281804,0.0,36053553.900000006,5473789.199999999,394750690.38180405,444346996.3681545
5,Australia: Townsville,Hong Kong: Hong Kong,nan,North East Asia,-19.25,146.84,22.16,114.16,2019-01-24 09:25:00,2019-02-06 17:20:00,Australia: Townsville->Hong Kong: Hong Kong,,587816320.0797276,97778303.09565903,2.2810857931130393,14.08064791506469,9.855068935417593,10.739567963789217,10.786888510857896,3.1420256936776667,81.0927177079591,0.8748709715065544,0.8711823742026406,186.5359368046284,15.310987664034007,3448.8998939832577,3455.589154422313,214141623.5950362,0.0,20280000.0,2305200.0,666837015.8749428,0.0,65017679.99999999,7178392.800000001,739033088.6749427,819662072.3812201
6,Hong Kong: Hong Kong,China: Zhanjiang,North East Asia,North East Asia,22.16,114.16,21.0,110.86,2019-02-07 02:00:00,2019-02-08 00:35:00,Hong Kong: Hong Kong->China: Zhanjiang,,36191231.023707815,7255787.295847222,2.361589615942029,12.127412590670291,10.064761810235506,10.920626944615591,11.071894694687188,2.710600412867495,77.55154437028986,2.814648649981884,1.3486743577898552,155.94202898550725,9.324515962048086,248.45739182303797,251.17441972615862,15654372.837814016,0.0,1329900.0,81600.0,48747717.01695285,0.0,4263659.400000001,254102.4,53265478.816952854,49038104.59106315
7,China: Zhanjiang,Viet Nam: Phu My,North East Asia,South East Asia,21.0,110.86,11.03,107.26,2019-02-08 05:25:00,2019-02-08 09:55:00,China: Zhanjiang->Viet Nam: Phu My,H7,5485099.301707232,1821635.4480729166,2.7273394107142854,8.454873682785713,10.35031502702381,7.978314824730549,8.685817161594212,1.8637349121666666,58.65638239761904,0.5465211918012857,1.080727341190476,133.7404761904762,15.323661030776382,36.52241311052065,39.891574123652745,1589948.5403168718,0.0,581100.0,163200.0,4951099.754546739,0.0,1863006.6,508204.8,7322311.154546739,7043741.383961156
8,Viet Nam: Phu My,Viet Nam: Phu My,South East Asia,South East Asia,11.04,107.27,10.6,107.02,2019-02-22 07:25:00,2019-02-22 10:50:00,Viet Nam: Phu My->Viet Nam: Phu My,port_activity,3071528.3609091234,1433420.046735101,2.692333722375541,5.544799267291667,6.016544226244588,7.299685476439439,7.109317899297771,1.0794583050050108,42.81188960511364,-0.36169661158116884,2.407546658874459,113.38176406926408,17.2858758889614,26.59221725697915,32.01962269098654,799759.1388733289,0.0,530400.0,163200.0,2490449.9584515467,0.0,1700462.4,508204.8,4699117.158451546,5158853.193781698
9,Viet Nam: Phu My,Viet Nam: Vung Tau,South East Asia,South East Asia,10.6,107.02,10.35,107.04,2019-02-28 07:25:00,2019-02-28 09:40:00,Viet Nam: Phu My->Viet Nam: Vung Tau,,2381537.3402549047,1143461.135955787,2.853302896957672,6.118271908169312,6.84236861739418,7.219163172404682,6.958515493189435,1.2534640057804232,45.75358941719577,4.355909466931217,1.9821087212962964,113.07275132275133,14.73713558927731,16.886025925705116,21.657489517214046,675665.6018627122,0.0,397800.0,122400.0,2104022.6842004857,0.0,1275346.7999999998,381153.6,3760523.0842004856,3470635.035509789
10,Viet Nam: Vung Tau,Australia: Newcastle,South East Asia,nan,10.35,107.04,-32.89,151.77,2019-03-01 05:55:00,2019-03-15 06:55:00,Viet Nam: Vung Tau->Australia: Newcastle,,710167645.718174,121179448.44628018,2.686131702312175,16.196800776050743,6.324269802481174,13.231229525049196,12.912807357634973,3.5945251565455183,88.15168324976472,1.8019603190132727,2.5724487463779813,143.2899632418863,9.96724393472112,4473.057869200508,4478.6525340341705,297852839.5938131,0.0,17873700.0,367200.0,927513742.4951341,0.0,57303082.19999999,1143460.7999999998,985960285.4951341,1098217882.6149497
11,Australia: Newcastle,New Zealand: Mount Maunganui,nan,nan,-32.89,151.77,-37.54,176.16,2019-03-20 03:40:00,2019-03-24 14:20:00,Australia: Newcastle->New Zealand: Mount Maunganui,,244370985.35881934,37368421.55514514,2.594523751141975,17.272182238478393,5.521897995478395,12.748504499053524,12.409502059300497,3.8249270176234567,88.14319501543213,1.3538989384091045,2.6155588429320993,94.98317901234567,10.742274776288793,1368.8113795023148,1388.9517912617007,78805516.12626335,0.0,5721300.0,122400.0,245400377.2171841,0.0,18342487.799999997,381153.6,264124018.6171841,322601107.5726582
12,New Zealand: Mount Maunganui,New Zealand: Tauranga,nan,nan,-37.54,176.16,-37.66,176.18,2019-03-24 21:00:00,2019-03-24 22:40:00,New Zealand: Mount Maunganui->New Zealand: Tauranga,,941656.5850175,728446.6498344906,2.7265626319444447,3.6287344316666665,5.468723000694444,6.036097216183111,5.356902218495236,0.720444258888889,31.878823944444445,-0.47996679731944447,1.8746957569444445,338.4583333333333,4.568563955555556,10.2213629544685,12.072194432366222,181633.88405680796,0.0,265200.0,81600.0,565607.9149528999,0.0,850231.2,254102.4,1669941.5149529,1090858.3836978804
13,New Zealand: Tauranga,China: Xingang,nan,North East Asia,-37.66,176.18,38.86,118.61,2019-03-29 18:40:00,2019-04-17 13:30:00,New Zealand: Tauranga->China: Xingang,,1060208166.5596292,143946141.81567082,2.384308424525916,18.06335687636465,9.82927518100769,12.589351435718452,12.552535606217777,4.000986368785431,90.17736230354127,0.18361601548734777,1.3317966093183735,119.26179941002951,10.704135255766602,5691.143869715507,5693.636841449057,457973394.3369181,0.0,23160150.0,166600.0,1426129149.9651632,0.0,74251440.89999999,518792.39999999997,1500899383.2651632,1441781991.5643294
14,China: Xingang,China: Xingang,North East Asia,North East Asia,38.86,118.61,39.1,118.5,2019-04-19 04:50:00,2019-04-19 07:40:00,China: Xingang->China: Xingang,port_activity,3686981.154174583,1600715.7342766204,2.995725017361111,7.1040099309722216,10.407315407638889,7.2277611721521335,8.01038364527791,1.6921438637222221,55.44027786111111,2.02530953375,0.31657897638888877,99.47916666666667,11.695707406953224,22.51371046797027,28.911044688608534,1048640.8261578642,0.0,448500.0,122400.0,3265467.5326555893,0.0,1437891.0,381153.6,5084512.132655589,4210957.547074988
15,China: Xingang,unknown: Pohang,North East Asia,North East Asia,39.1,118.5,36.36,129.88,2019-04-28 01:50:00,2019-04-30 22:10:00,China: Xingang->unknown: Pohang,,98811483.49758095,28694680.859002076,3.075208923214285,10.748843983660715,5.613104332440477,11.21735497791644,11.059122533458476,2.3803035763095046,72.69113624071429,1.0083614000607142,2.193763293928572,102.36785714285715,8.164891657028681,778.3391514123484,794.464826554236,40091483.65219234,0.0,3929250.0,425000.0,124844880.09292693,0.0,12597175.499999994,1323450.0,138765505.59292698,154858237.29729986
16,unknown: Pohang,unknown: Pohang,North East Asia,North East Asia,36.36,129.88,36.47,129.8,2019-05-01 19:40:00,2019-05-01 20:10:00,unknown: Pohang->unknown: Pohang,port_activity,102017.92332375,734990.4368430555,2.751055908333333,0.3931326525,5.972423797916667,1.0833308235101335,0.6067823079686,0.0,0.0,-2.016039675,1.1261035208333334,19.666666666666664,9.116609794383999,0.5407839481346587,2.166661647020267,1149.4234910806663,0.0,97500.0,88400.0,3579.304751225195,0.0,312585.0,275277.6,591441.9047512251,499146.1177844219
17,unknown: Pohang,unknown: Pohang,North East Asia,North East Asia,36.47,129.8,36.09,129.49,2019-05-02 01:25:00,2019-05-02 07:50:00,unknown: Pohang->unknown: Pohang,port_activity,4720512.458791839,2686466.491200947,2.8729701358534325,5.19737127309864,5.808298700502474,6.214534179639506,6.460015034059414,1.0459892461471862,38.9287253166512,2.280753984061534,1.5153384168985777,128.9565553494125,6.418449636326484,39.54658815306064,43.501739257476544,1197930.0115147363,0.0,678600.0,251600.0,3730354.0558568886,0.0,2175591.6,783482.3999999999,6689428.055856888,5616512.2809837535
18,unknown: Pohang,unknown: Pohang,North East Asia,North East Asia,36.09,129.49,36.01,129.41,2019-05-03 00:50:00,2019-05-03 02:05:00,unknown: Pohang->unknown: Pohang,port_activity,966009.723546875,1144239.0519243055,2.855244047222222,2.4817205486111114,5.936781911111111,3.977768541254933,3.9246686682945775,0.33144375676944443,19.22003718611111,0.6338445453611111,1.2559619666666664,312.6111111111111,3.896319353683556,6.536601214127488,11.933305623764799,132656.1932000096,0.0,313950.0,125800.0,413091.38562482997,0.0,1006523.7,391741.19999999995,1811356.28562483,1153663.1920352383
19,unknown: Pohang,Republic of Korea: Masan,North East Asia,North East Asia,36.01,129.41,35.17,128.58,2019-05-04 09:30:00,2019-05-04 21:40:00,unknown: Pohang->Republic of Korea: Masan,,18805876.598225415,4740717.180060879,2.727522680555556,11.075672194358974,5.982589124679487,10.194420908603975,10.94302070790954,2.391966003511966,71.43343602188033,1.099094787363248,1.5578985497863251,190.42307692307693,4.43095836842109,127.68308733691042,134.3302454785851,5694681.350808026,0.0,1314300.0,326400.0,17733237.726416193,0.0,4213645.800000001,1016409.5999999999,22963293.12641619,20734982.151454978
20,Republic of Korea: Masan,Panama: Balboa,North East Asia,nan,35.17,128.58,8.9,-79.5,2019-05-08 04:05:00,2019-06-05 08:35:00,Republic of Korea: Masan->Panama: Balboa,,1238999929.7845068,213037206.7454887,2.3569273780354507,14.110695787440637,6.620550578245155,12.277146432430186,12.314856035351056,1.1191566105237833,83.62590291748238,1.6051712003246055,1.6786639245456783,228.96004543216506,11.837994189096007,8293.345629031168,8311.605407486928,487438671.31428444,0.0,36205650.0,982600.0,1517884022.472682,0.0,116075313.89999998,3059816.3999999994,1637019152.7726817,1900872127.1762524
21,Panama: Balboa,Panama: Balboa,nan,nan,8.9,-79.5,8.9,-79.5,2019-06-06 05:50:00,2019-06-06 06:05:00,Panama: Balboa->Panama: Balboa,port_activity,-27516.850036125,600739.2046541667,2.248555975,-0.10603795775,7.019447375,1.1749972801248,-0.27879411290976003,0.0,0.0,-1.89435365,0.26801620000000015,316.0,7.265102,0.30919016366917573,2.3499945602496,1738.7234395547086,0.0,78000.0,88400.0,5414.3847907733625,0.0,250068.0,275277.6,530759.9847907734,499146.1177844219
22,Panama: Balboa,United States of America: Galveston,nan,North East America,8.9,-79.5,29.26,-94.45,2019-06-06 11:40:00,2019-06-11 19:50:00,Panama: Balboa->United States of America: Galveston,,202399610.05760348,40534223.0679187,2.3545166493035,12.08261645524818,6.497432460785179,11.885560997191586,11.604476485563051,2.6642780842373863,75.919313943853,-0.1612343471047839,1.1304612632428939,139.62191684284707,10.878990283776645,1532.3896526579083,1534.201002775409,91615418.3148852,0.0,7088250.0,547400.0,285290412.6325525,0.0,22724929.499999996,1704603.6,309719945.7325525,352044370.0720005
23,United States of America: Galveston,United States of America: Galveston,North East America,North East America,29.26,-94.45,29.31,-94.81,2019-06-22 01:30:00,2019-06-22 04:35:00,United States of America: Galveston->United States of America: Galveston,port_activity,3527650.4687343743,1575324.1766135416,2.9482049468750002,6.797014390625,6.720852159895833,6.713526130385118,7.156804633157697,1.5100365579166668,47.80737852708333,8.477955769895834,0.508444221875,166.5,14.801329312922668,21.41605097976788,26.854104521540467,691777.3277216335,0.0,530400.0,163200.0,2154194.5985251665,0.0,1700462.4,508204.8,4362861.798525167,4121399.338591406
