,Unnamed: 0,start_port,end_port,start_region,end_region,start_loc_lat,start_loc_lon,end_loc_lat,end_loc_lon,start_time,end_time,route,route_name,ME_CO2,AE_CO2,ae_consumption,me_consumption,draft,sog,stw,power,rpm,rudder_angle,trim,wind_direction,wind_speed,GPS_distance,sog_distance,IMO_ME_consump,IMO_pilot_consump,IMO_aux_consump,IMO_boiler_consump,IMO_ME_CO2,IMO_pilot_CO2,IMO_aux_CO2,IMO_boiler_CO2,IMO_CO2_consump,desmo_CO2
0,0,South Africa: Richards Bay,United States of America: Corpus Christi,,North East America,-28.81,33.92,27.8,-96.85,24/02/2017 22:00,26/03/2017 21:55,South Africa: Richards Bay->United States of America: Corpus Christi,,855584200.8,133380232.2,2.03771417,13.45730321,6.22526419,12.87630119,12.4667306,3.129979653,81.87660137,1.480220358,2.754355936,88.53673438,12.90248257,6301.97502,6309.569638,396386560.8,0,25716600,625600,1234347750.0,0,82447419.6,1948118.4,1318743288.0,1565874816.0
1,1,United States of America: Corpus Christi,United States of America: Corpus Christi,North East America,North East America,27.8,-96.85,27.81,-97.4,28/03/2017 01:05,28/03/2017 04:20,United States of America: Corpus Christi->United States of America: Corpus Christi,port_activity,4103355.981,1298232.861,2.429631056,7.906273567,6.603311476,8.587563135,8.813271799,1.848535853,55.17609314,4.769013056,2.18471133,130.9591071,10.25634895,31.50287451,34.35025254,1401198.779,0,366600,81600,4363332.998,0,1175319.6,254102.4,5792754.998,5686658.55
2,2,United States of America: Corpus Christi,unknown: Sabine,North East America,North East America,27.81,-97.4,29.58,-93.73,30/03/2017 19:50,31/03/2017 14:30,United States of America: Corpus Christi->unknown: Sabine,,33235343.25,5437869.987,2.038523917,12.59314291,5.703404887,11.95425128,12.04027148,3.126249356,80.31429441,1.368862708,3.77417418,206.6055117,8.686858955,229.6927188,241.9912579,12590002.92,0,1177800,81600,39205269.08,0,3776026.8,254102.4,43235398.28,47946719.62
3,3,unknown: Sabine,United States of America: Port Arthur,North East America,North East America,29.58,-93.73,29.84,-93.96,05/04/2017 12:20,05/04/2017 15:35,unknown: Sabine->United States of America: Port Arthur,,3582516.709,1251462.259,2.342100298,6.90272969,5.983697954,6.049293157,6.411170219,1.429146369,39.56712138,1.762325914,2.739836449,311.6096631,16.33639336,21.75033859,24.19717263,561833.9469,0,446550,166600,1749550.91,0,1431639.3,518792.4,3699982.61,4016363.862
4,4,United States of America: Port Arthur,Belgium: Antwerpen (Antwerp),North East America,North Europe,29.84,-93.96,51.26,4.41,09/04/2017 23:10,30/04/2017 23:50,United States of America: Port Arthur->Belgium: Antwerpen (Antwerp),HS4,940637613.6,130405590.3,1.933121533,14.35389702,9.370293907,10.32863312,10.55854155,3.124926062,77.23029831,3.295043066,1.583996988,134.8030076,16.39123217,5202.650167,5216.58479,309274316.0,0,34934250,4783800,963080219.9,0,111999205.5,14896753.2,1089976179.0,1250873692.0
5,5,Belgium: Antwerpen (Antwerp),Belgium: Doornzelle,North Europe,North Europe,51.26,4.41,51.3,3.84,06/05/2017 04:10,06/05/2017 13:50,Belgium: Antwerpen (Antwerp)->Belgium: Doornzelle,,3633478.041,3042536.685,2.282141468,2.755901187,8.096512852,3.889912372,4.804215857,0.481137431,22.99491458,1.937795262,1.968609561,74.15749141,10.49313806,37.8188592,39.38905593,595390.9438,0,971100,421600,1854047.399,0,3113346.6,1312862.4,6280256.399,4586579.955
6,6,Belgium: Doornzelle,Spain: Santander,North Europe,South Europe,51.3,3.84,43.36,-3.07,08/05/2017 23:30,11/05/2017 14:10,Belgium: Doornzelle->Spain: Santander,,109336698.4,17318138.04,2.028517195,13.010669,6.486868455,12.19040902,12.42247759,3.101159834,80.17676345,2.779127279,2.902279828,101.9871815,10.59537547,776.4697076,789.0664937,48907783.95,0,3648450,336600,152298839.2,0,11696930.7,1048172.4,165043942.3,185073435.4
7,7,Spain: Santander,Spain: Alicante,South Europe,South Europe,43.36,-3.07,38.32,-0.45,13/05/2017 16:45,17/05/2017 22:20,Spain: Santander->Spain: Alicante,,189534100.5,28042931.58,2.038618182,14.14946484,6.628922846,12.15265838,12.33869277,2.153425272,82.80349963,2.634529162,2.50748991,137.1016465,12.32272898,1243.544583,1254.808351,72986286.31,0,5795400,285600,227279295.6,0,18580052.4,889358.4,246748706.4,289164383.7
8,8,Spain: Alicante,Spain: Alicante,South Europe,South Europe,38.32,-0.45,38.33,-0.5,18/05/2017 06:50,18/05/2017 07:55,Spain: Alicante->Spain: Alicante,port_activity,-179648.8114,577080.0267,2.1600001,-0.69228829,7.230319473,3.394753682,3.104747757,0.102350657,2.245694525,3.751096666,1.532730679,199.2766875,3.509949609,3.668717678,6.789507365,40198.70679,0,265200,81600,125178.7729,0,850231.2,254102.4,1229512.373,596817.8128
9,9,Spain: Alicante,Spain: Tarragona,South Europe,South Europe,38.33,-0.5,41.1,1.23,22/05/2017 15:45,23/05/2017 09:55,Spain: Alicante->Spain: Tarragona,,24853646.37,5482260.254,2.1600001,10.08159269,5.879396521,10.79488762,10.94840332,2.207821188,68.72181492,2.02848966,1.376582805,96.42305921,6.647519354,201.868291,205.1028649,9851515.296,0,1618500,326400,30677618.63,0,5188911.0,1016409.6,36882939.23,36726511.54
10,10,Spain: Tarragona,unknown: Bakirkoy,South Europe,,41.1,1.23,40.77,28.72,26/05/2017 13:25,31/05/2017 16:45,Spain: Tarragona->unknown: Bakirkoy,,199812464.8,36149178.03,2.182306633,12.40603322,5.388329968,12.24130958,12.34046514,2.673757034,79.44682194,2.833447971,2.818298561,167.9396602,7.799896862,1511.140839,1519.430824,79512714.74,0,7595250,697000,247602593.7,0,24350371.5,2170458.0,274123423.2,306658789.2
11,11,unknown: Bakirkoy,unknown: Bakirkoy,,,40.77,28.72,40.76,28.76,31/05/2017 22:05,31/05/2017 22:35,unknown: Bakirkoy->unknown: Bakirkoy,port_activity,201356.2632,244446.2695,1.829915929,1.551878714,5.967571314,2.726749418,3.025237566,0.0,0.0,1.092255156,1.437005429,254.5714286,8.738949091,1.498435178,2.726749418,9127.280942,0,48750,44200,28422.35285,0,156292.5,137638.8,322353.6529,249523.554
12,12,unknown: Bakirkoy,Russian Federation: Novorossiysk,,,40.76,28.76,44.4,37.67,01/06/2017 06:30,03/06/2017 20:20,unknown: Bakirkoy->Russian Federation: Novorossiysk,,44805499.18,16993683.97,2.017361468,5.456840621,5.701956093,11.0286956,7.515139645,1.537990095,45.6160648,2.664161266,2.010614144,267.8030463,7.672436055,687.6063606,700.6776011,6048578360.0,0,5787600,1611600,18835273014.0,0,18555045.6,5018522.4,18858846582.0,1.1e+17
13,13,Russian Federation: Novorossiysk,Russian Federation: Novorossiysk,,,44.4,37.67,44.73,37.8,04/06/2017 05:00,04/06/2017 14:05,Russian Federation: Novorossiysk->Russian Federation: Novorossiysk,port_activity,3183475.727,2463353.678,1.881381116,2.768774975,5.862652074,7.390874019,2.7236688,1.525795835,15.81343966,1.490555098,1.655943343,32.84545455,5.399220853,114.3271825,71.58043462,3968654.343,0,707850,255000,12358389.62,0,2269367.1,794070.0,15421826.72,15542724.26
14,14,Russian Federation: Novorossiysk,Ukraine: Odessa,,,44.73,37.8,46.5,30.73,10/06/2017 00:50,11/06/2017 12:15,Russian Federation: Novorossiysk->Ukraine: Odessa,,53845058.56,10397676.14,2.112822398,11.00313107,5.528921117,11.33971013,11.01085391,2.322872602,72.82685651,2.395494235,3.690730913,173.4842342,10.39262675,416.3004131,427.2661081,21228770.06,0,2445300,374000,66106389.96,0,7839631.8,1164636.0,75110657.76,86823899.35
15,15,Ukraine: Odessa,unknown: Sariyer,,,46.5,30.73,41.4,29.05,14/06/2017 10:35,15/06/2017 12:45,Ukraine: Odessa->unknown: Sariyer,,40109787.59,7631708.025,2.116080126,11.38833145,6.025460524,12.12593674,11.99655499,2.460141469,75.85090289,2.460750524,3.411467326,244.7049383,12.73529572,324.6261273,328.6488031,18761116.74,0,1614600,122400,58422117.51,0,5176407.6,381153.6,63979678.71,77062020.02
16,16,unknown: Sariyer,Egypt: El Dekheila,,,41.4,29.05,31.23,29.76,16/06/2017 00:50,18/06/2017 15:40,unknown: Sariyer->Egypt: El Dekheila,,101011119.7,18928652.97,2.213926801,12.12286191,5.972562583,12.36983005,12.15002584,2.655967743,77.80103085,2.426339145,3.42063259,197.1875,9.265308302,782.6666639,793.4472308,46866048.29,0,3734250,289000,145940874.4,0,11972005.5,899946.0,158812825.9,175889589.9
17,17,Egypt: El Dekheila,unknown: El Iskandariya,,,31.23,29.76,31.18,29.86,22/06/2017 12:55,22/06/2017 16:45,Egypt: El Dekheila->unknown: El Iskandariya,,1186593.519,1613996.514,2.416463901,1.829045887,6.499902348,2.866659913,2.780185488,0.165780553,8.252562012,2.799958025,2.462245699,333.0666667,11.54394738,9.500604515,14.33329957,117442.4651,0,475800,210800,365715.8363,0,1525414.8,656431.2,2547561.836,1819610.052
18,18,unknown: El Iskandariya,Egypt: Alexandria,,,31.18,29.86,31.19,29.88,22/06/2017 21:20,22/06/2017 21:45,unknown: El Iskandariya->Egypt: Alexandria,,153766.7254,320253.7542,2.397408017,1.185100003,6.517783267,2.547279013,2.641593838,0.0,0.0,4.818206117,2.4366443,319.0,7.218125931,1.215969892,2.547279013,7890.838775,0,48750,44200,24572.07194,0,156292.5,137638.8,318503.3719,249523.554
19,19,Egypt: Alexandria,France: La Mede,,South Europe,31.19,29.88,43.43,4.89,25/06/2017 05:15,30/06/2017 05:45,Egypt: Alexandria->France: La Mede,,241072207.3,34808342.38,2.154104609,15.34898721,6.416459399,12.52667584,12.69870811,3.364383109,85.67466006,2.724173852,2.619810277,265.7927456,9.752458591,1509.894075,1516.482986,91502277.55,0,6544200,204000,284938092.3,0,20980705.2,635256.0,306554053.5,336315357.4
20,20,France: La Mede,United States of America: Houston,South Europe,North East America,43.43,4.89,29.73,-95.27,02/07/2017 01:55,20/07/2017 21:00,France: La Mede->United States of America: Houston,,874382518.8,127760478.3,2.111786465,14.86344704,7.42072046,12.4929423,12.7616703,3.33681945,85.35950836,2.125199074,2.117986345,158.3565121,9.256573827,5643.009424,5669.111832,378212824.3,0,24499800,863600,1177754735.0,0,78546358.8,2689250.4,1258990344.0,1304749521.0
21,21,United States of America: Houston,United States of America: Norsworthy,North East America,North East America,29.73,-95.27,29.75,-95.17,23/07/2017 02:35,23/07/2017 03:50,United States of America: Houston->United States of America: Norsworthy,,798906.8679,668154.3588,2.500889677,3.078639183,8.126699566,4.811093869,4.867131907,0.592382564,29.87489444,3.652567899,2.140994147,197.4727273,7.309721964,5.988290071,9.622187738,123742.8311,0,265200,81600,385335.176,0,850231.2,254102.4,1489668.776,869622.0882
22,22,United States of America: Norsworthy,United States of America: Galveston,North East America,North East America,29.75,-95.17,29.29,-94.65,28/07/2017 21:10,29/07/2017 02:05,United States of America: Norsworthy->United States of America: Galveston,,5392866.873,2343892.202,2.924382037,6.92725353,5.700822523,8.127280512,8.225056123,1.576450776,52.55994033,1.485344076,2.271739067,185.6777778,11.11017948,45.81863958,48.76368307,1733621.933,0,629850,207400,5398498.699,0,2019299.1,645843.6,8063641.399,7826132.048
23,23,United States of America: Galveston,United States of America: Pasadena,North East America,North East America,29.29,-94.65,29.72,-95.24,07/08/2017 04:25,07/08/2017 10:45,United States of America: Galveston->United States of America: Pasadena,,6706205.83,2502008.754,2.679277916,6.964661616,5.805570913,8.36662234,8.684938747,1.620576787,58.73970914,2.5125478,2.367996899,187.9608844,11.0872667,54.35337597,60.56167578,1930491.678,0,846300,244800,6011551.085,0,2713237.8,762307.2,9487096.085,9163506.542
24,24,United States of America: Pasadena,Ghana: Keta,North East America,,29.72,-95.24,2.78,2.16,12/08/2017 01:50,03/09/2017 01:00,United States of America: Pasadena->Ghana: Keta,,1085842386.0,155460580.6,2.199947603,15.81990066,9.79086616,11.56891351,11.59231583,3.600109425,82.66523836,2.105035716,1.35535408,155.1586326,11.3706556,6108.379061,6119.955246,480938452.6,0,27504750,2131800,1497642341.0,0,88180228.5,6638425.2,1592460995.0,1543263803.0
